"","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","明禁黨","﹉","嫦娼","切扁","絲瓜","批次","涉賄","荷蘭隊","北柯中林","帶職","死魚","吳柱","柯林","韓國瑜"
"2","蔡起方","白血","共治","流感","阿夫","選區","長長","軍檢","北柯中","張","張","二輪","柯盧韓","韓粉"
"3","天賜","里","謝蘇","撤離","草搏","桃花源","求刑","洪家","服貿","領表","新北","台湾","自提","柯文哲"
"4","國務","學分","九萬","抗病毒","花博","普羅旺斯","久久","凌虐","中林","課綱","洪秀柱","中国","柯盧","英粉"
"5","粘貼","游樣","往生","翁父","李好","獻帝","肯得","洪仲丘","北連中","恵","黃國昌","韓詹潘","丁盧韓","韓導"
"6","機要","可親","補刀","侯覽","地瓜","第屆","德克","油價","張","逢坂","川普","美国","張","柯粉"
"7","甲君","游","傑瑞","北所","黑炭","小陰","巴萊","鼬獾","非凡","僅王","蘇嘉全","一輪","韓","發大財"
"8","鴭","選區","維評","林派","藍白","﹉","中油","致死","北連","小組長","柯建銘","与","丁林","韓總"
"9","申領","畫眉","為分","提李","單價","李翁","刑年","林秀濤","柯文哲","選區","無期","大陆","韓國瑜","韓"
"10","發票","鄭莉文","退步","翁大銘","單株","殷瑋","判年","禁閉室","黑馬","太公","幣","对","文智","非韓"
"11","種村碧君","機龍","蕭","王聰松","鋼筋","降半旗","涉嫌","民粹主義","胡","洪","更審","敘利亞","丁林韓","韓的"
"12","扁奴","嚇出","文言文","解決方案","博覽會","帝娘","英九","范佐憲","綿羊","洪秀柱","獲得","柱","柯文哲","韓黑"
"13","王麗平","德里","阿叔","彭百顯","合成纖維","殷偉","貪污罪","停權","微","新北","蔡適應","吳郝","丁盧","柯"
"14","連剩文","阿美","蕭登旺","篩","探入","鳳隼案","林書豪","檢察長","童話","辭職","珊","問卦","陳其邁","芒果乾"
"15","幸魚","皇后","余天","帶算","游行","蟠母","奧斯卡","同性戀","學運","如期","十三號","郝柱","十三號","館長"
"16","阿清嫂","哞","榮仔","盲腸炎","一株","億度","賄選","司法警察","ミ","邱顯智","各里","彈殼","邁邁","郭董"
"17","賀","兮","學生證","表姊","運費","入住","魚夫","經理","︵","死魚","張宏陸","台独","幣","嘔"
"18","開立","五鼠","眉批","直升機","株","再生能源","油價","考紀","餵羊","幣","林昶佐","他们","翁章梁","郭台銘"
"19","禮券","蘇真倡","還願","縣市政府","九層","擦鞋童","主題歌","下士","反服貿","獲得","呂孫綾","为","變形","草包"
"20","橘","銀鞭","靜坐","克","鵝卵石","進步黨","塑化","監聽","丁守中","黃國昌","柯文哲","解放军","林姿妙","阿北"
"21","扁帝","雜碎","草霉","林邊","棒棒糖","新北市","籍","關說","殭屍","林依晨","釣魚島","舰队","元素","挺韓"
"22","馬永成","市里","阿農","救難","夏達","國民會議","汽油","核電廠","大腸","僅該","謝志忠","李昌鈺","獲得","柯黑"
"23","周玉扣","崋","馬蕭","提李棄","棉梭","軍品","讞","核電","分行","柯文哲","洪慈庸","从","而州","綠共"
"24","特支費","婊哥","選區","紙箱","瓜棚","關鍵詞","代會","雨果","學生證","珊","吳琪銘","冉冉","州長","覺青"
"25","大逃殺","膽宗痛","壁壘分明","縣老爺","管接頭","報案","被求","勇伯","機房","會前","偏獨","什葉派","驢","韓流"
"26","洪秀助","阿金","野草","輕症","報價","新北","鄉代會","狂犬病","核終","警告","秀芳","一个","共和黨","吉娃娃"
"27","虎頭蜂","冷汗","小夫","雷劈","乂","惠帝","無效","處份","天朝","延期","國書","無新","賴峰偉","投韓"
"28","隨扁","㊣","投憨呆","舞廳","葉問","菊民","鄉民代表","潘鳳","花果山","張宏陸","肯亞","日军","柯","韓兒"
"29","九十四年","牛牛","穠","重症","ド","馬蝨","併合","發電廠","黑箱","口頭","選區","地区","瑜邁","柯糞"
"30","交予","︱","和解","紐澳","技士","麻音","奧地利","軍法","鬼故事","吳琪銘","洪宗熠","时间","第九","蔡英文"
